clean,label
driver shopee food susah banget sekarang waktu habis cuma buat nungguin pesan pada akhir dibatalin gaada driver mana tiap pesan minimal waktu kirim menit lagi hadeuhh,0
sekarang kirim ngak enak dulu dulu masih jnt pegang kirim batas tiga hari waktu antar sekarang harus hari klau ngak ambil lansung retur sma spx klau jngan spx pegang kirim shopee,0
shopee memang oke,1
sarana belanja murah mudah nyaman aman,1
aplikasi bagus sangat bantu segala butuh barang,0
enjoy,1
sangat bantu dalam pilih produk butuh,1
kirim cepat return ubah pikir masuk shopee pay beli makan kalo ubah pikir kaya sibiru kirim lama return susah pun masuk saldo sibiru buat apa kecuali belanja lagi,0
tolong dong sedikit masuk buat shopee mungkin buat iklan sedikit rang yah jangan terlalu lebih masa lagi baca cerita gak pencet apa malah masuk apk shopee bagus kok kalo buat promosi tapi tolong sedikit kontrol gitu loh tiba tiba masuk shopee malah males ujung ujung hapus soal muak,0
bagus banget,1
kadang barang sampek tapi dapat ganti vocer paket makas shopee,1
bagus sih tapi ongkirnya bikin geleng geleng kepala,1
banget lah klw blanja shopee,1
mantap makasih,1
shoppe terlalu ribet,0
salah lain masalah masalah shopee kok kontrol barang palsu jual barang tipu tipu apalagi jangan begitu shopee bantu rakyat jelata agar beli barang layak beli lalu manfaat buat kita semua,0
shopee fair rugi driver shope aplikasi manusiawi hadap driver ongkir murah sangat murah customer bayar full terima driver sangat sangat murah payah buat shopee sangat beda jauh sama ijo,0
kurang ajar aplikasi tipu kerja sama sellernya barang kirim pcs padahal beli pcs bayar via transfer bri klaim shopee sellernya tolak padahal vidio unboxing saat kirim paket pengemblian jne masuk resi poto aplikasi mau input tunggu hari notif kembali tolak resi dapat lacak kan aneh kerja sama tipu sama sellernya rekomend aplikasi shopee,0
kurir tempat lelet kaya aplikasi belah gercep,0
belanja shopee selalu sesuai dgn ingin butuh semua dgn harga jangka produk kualitas sesuai ekspektasi serta kirim sesuai jadwal cuman akhir estimasi sampai tuju kok lama biasa,1
aplikasi oke beli apa disni banyak tapi iklan apk mana mana mana ngeselin lagi iklan pas masuk apk lgsg lag nyebelin,0
baru bikin akun shopee pertama dpt vocer rupiah malah akun suspen lain gausah ngasi vocer kalo mau rugi,0
belanja aman shopee mantap,1
padahal alamat tunjuk jelas tapi akses metode cod,0
kadang tipu sesuai ekspektasi,1
layan buruk,0
shopee update aneh banyak segi tombol text potong potong trus gada tombol klik pesan selesai bingung tolong baik dong,0
gak gak usah sering sering tampil aplikasi lain resah sekali sekali lalu hapus sih gak apa apa apaa udah sering hapus ehh kembali lagi kan sulit baca cerita,0
terima kasih shoppee ekspedisi sekarang selalu tepat waktu lancar sampai tuju barang sesuai pesan moga toko selalu sedia barang sesuai terang real sehingga kembali barang beli rasa kecewa terima kasih,1
pokok kalian harus mendownload aplikasi sangat guna,0
alhamdulillah sampai saat masih percaya jual shopee masih amanah,1
keren abis apalagi kalo diskonn behhhh,1
alhamdulillah dpt gratis ongkir harga jangkau kurir ramah toko amanah,1
aplikasi belanja paling oke mantap sesuai dalam alam belanja shopee beberapa seller gak mantap tolong sedia link atau tempat adu langsuk jika seller amanah dalam dagang terimakasih shopee,1
pada bagus brang tapi pada mahal,0
neng jual beli shopee percaya banget,1
pokok keren deh,1
sempurna sesuai butuh,1
buruk proses retur lama amit amit,0
buruk sekali,0
ane kasih bintang ksih spesial donk,1
mohon tertib kirim sesuai live video,1
kecewa sih soal pesan lewat estimasi tiba,0
bagus guna harap sarana tipu oleh oknum,1
shoope emang bagus banyak voucher kasih gratis sama shopee,1
aplikasi bagus tapi iklan mana mana ganggu aktivitas,0
susah banget dapet driver shopeefood padahal lagi ngga hujan sad batal pesan ganti menit bayangin nunggu lama lama ken dibatalin udah menit ngga harus nunggu menit dulu,0
banyak update gajelas malah makin ribet buat nambah stock aja ngebug produk keluar keluar etalase lot,1
bagus ngak rusak gratis ongkir,1
sangat puas belanja sini,1
sangat bantu butuh keluarga banyak vocernya apa lagi tambah dapet gratis ongkir mantap poko shopee its the beast deh,0
vouchernya guna,1
bagus sangat bantu belanja online mager mau beli keluar,0
krens banget,1
belanja shopee memang mantap barang bagus bagus pokok sukses selalu buat shopee,1
shope skrng udah kaya dulu lagi dulu hari paling lama skrng banyak kendala paket gerak sering ngelewatin itsmitasi kirim muak banget sama shope skrng klo gin terus orang pada gamau blanja shope pagi,0
puas dgn layan jual kurir,1
maaf kasih bintang makin kesini sistem shopee makin buruukk pilih kurir utk luar pulau sdh hnya mnyediakan hemat cargo dmn pngiriman luar pulau bsa smpai hari gilaa emnk shope skrg dulu wkt msh shope reguler jnt luar pulau pling lama cuma hari paraah emnk benahin mslah kirim kalian,1
pernah nyesel pake shopee bnr the best,0
sangat bantu sekali belanja mudah tanpa harus kluar rumah,0
guna cod karna alamat satu gabisa tolongg dong shopee knp bgni,1
banyak tipu,0
trimakasih shopee beri kami produk murah awettt dgn ada shopee semua kita ingin beli sedia oleh shopee,1
mudah nyaman tapi agak berat saat jaring maksimal tapi sangat puas sekali belanja online shopee aplikasi sangat percaya sangat aman belanja aplikasi shopee tiap keluh masalah selalu selesai baik terimakasih tim shopee dedikasi sangat tinggi,0
kulir shopi lot pindah belanja parah spx sicepat lot bnget,0
iklan jangan terlalu banyak dong ngeleg gratis ongkir jarang jadi barang murah kalo liat vidio murah pas klik nyata harga mahal heran klo bimbang terus,1
puas banget belanja shopee,1
order dia batalin tapi biaya layan emas gak balikin padah toko gak minta biaya emas,0
kirim lambat sekali,0
mudah perlu butuh,1
barang sesuai pesan sangat bagus,1
ukur celana pas,1
kembali barang dana sulit padahal bukti kuat dasar oon aja admin shopee,0
barang elektronik accescories lain masih banyak kecewa andai kata shopee hanya jual kualitas bukan dar inovatif namun abal abal kira shopee saing amazon atau alibaba,0
iklan produk shopee pada nabrak,0
sangat guna,1
sesuai expetasi,1
sangat sering belanja aplikasi harga jangkau kualitas bagus sekali,1
kurir lama lama paket gua nyampe nyampe mending tiktok shoppp shopee bagus dulu,0
sangat bantu cari apa butuh hari hari mantab,0
stop aja kerjasama anteraja pesan sampai malah kembali jual alas lokasi tutup tlp terima skr paket lgi udah hari blm tiba sprtinya bakal sama,1
sesuai pesan,1
suka banget warna sesuai sen paket lengkap bara baik aja poko suka banget dehhh,1
sangat bantu belanja harga murah,1
diskon bayar tiba tiba ilang pdhl dibatalin seller kecewa sama performa shopee,1
sementara semua depan tingkat lagi,0
mantap sesuai murah,1
pokok baik lain,0
sangat rekomendasi beli barang barang sesuai ekspektasi kalian semua asli dapet barang selle tipu segitu aja,0
nge barang dua kali tapi malah pas status udah sampe nyata gak nyampe,1
ngbag ngbag jelas nih apl lama lama,0
sistem paling jelek banding com lain salah ssitem shopee tapi tanggung malah guna dikomplainalah gak solusi gak peduli,0
kirim tepat waktu spek barang sesuai pesan,1
promo tarik,1
kirim lama padahal jauh jauh banget,0
mohon bantu knph belakang suka sadapt pesan blokir akun padahl sya laku kesalahn selalu laku prosedur shoppe sprti amboxsing barang foto barang kalo blnja tidak nyaman bagi takut tipu beratasnakn security shoppe mohon bantu selesai trimakasih shoppe,0
bagus aplikasi nyah,0
estimasi kirim sering lambat hari hari padahal barang gudang dekat rumah orang tapi status kirim gagal terus besok lagi besok lgi tolong serta detail kurir nomor tlp kurir supya hubung kurir,1
hari hari shopee update minggu sekali aja bug hadeeh,0
plisss yaaaa udh mahal bayar instant tuhh harus cepat gituuu padahal mesen hari biasa tapi lambatt bangettt mesen belum jam siang nyari kurir terus udh lama banget bayar instant mahal guna buat apa yaallah pada akhir nyampe lama tara kirim biasa jkt mana lambat dapat voucher potong doangg mana syarat belanja anjir,1
bagus aplikasi tapi kadang tipu,0
aplikasi sangat bagus,0
terus banyak promo,1
aplikasi bagus gak usah ragu lagi emang belanja online harus teliti pilih toko barang terimakasih,0
app good,1
sesuai dgn photo barang puas,1
belanja murah banyak diskon,1
moga berqah,1
sangat sangat buruk rekomendasi daftar padahal nomor baru loh oon bgt aplikasi pantas hapus indonesia,0
kendala dalam belanja sering banget nak stuck,1
moga depan spx khusus spx jambe dekat rumah hanya menit jarak tempuh cepat tepat waktu antar rumah seperti skrg lalu hari hari paket biar inap spx jambe tlg spx shopee pusat perhati,1
barang sesuai terima kasih,1
limite spaylater bantu agar aktif,0
aplikasi marketplace juta harga mudah guna rating empat bintang dulu nanti tanpa kendala simpan terla gede ngadat baru lima bintang trims,1
pesan telat sampai jangan download,0
aplikasi jelek,0
sih usah nyangkut apk laen lagi baca tiba pindah shopee nyebelin bngtt,0
susah sekali mau pindah lama baru tele tele belit beli susah,0
tepat waktu praktis,1
naik satu bintang dulu,1
shopping sangat lah sesuai ingin bikin bintang lima,1
kenapa cod sih tolong dong benerin lagi tunggu baik,0
ahhay buah platform online shop praktis,1
blanja shopee ragu barang,0
saran saja blokir jual curang tipu,0
aplikasi shopee memang mantap,0
kurir shoope sangat buruk rim meski estimasi masih waktu hari lagi pengirimanya tunda tunda meski aplikasi sedang kirim kan alamat namun batal kan oleh pihak kurir shope lanjut esok hari harus jika sanggup hari baik jangan bikin sedang kirim alamat jika mau esok hari poko kurir shope daerah skrng banyak ngakalin,0
trimakasih shopee the best,1
banyak macam barang,1
shoper memang top,1
bagus banyak pilih kirim cpt knp ngajuin paylater tolak trs pdhl tokopedia diacc tiktok acc dana acc sini tolak pdhl rmh milik sendiri usaha,1
aplikasi sangat bagus semua sini,0
kalo kirim pakek mobil masyallah lelet banget padahal cuma surabaya loh sen frozeen kulit tortila hari bom nyampek jamur kecewa banget,1
kirim cepat packing bagus kurir ramah thanks,1
bagus banyak gratis,1
selalu puas belanja shopee,1
iklan maksa bgt,0
puas dgn layan belanja online shopee,1
belanja shopee asyik senang apa aja perlu sedia mantaaap good job,1
makin mudah belanja online shopee kirim cepat return dgn mudah,1
baru mau coban,1
shoppy tempat belanja online baik bagi mantafff,0
iso log mbot mending nang cok,0
lumayan klu hadiah tambah lagi,0
selalu puas belanja online situs,1
sumpah menganggu bgt iklan muncul mana mana udh silang ttp aja tiba tiba masuk lagi app ughhhh,0
bagus iya tapi mes banyak tipu dishoppe tolong blokir tipu,0
poko pernah gagal belanja shopee barang bagus bagus,0
gatau knpa skrng kirim shope lama banget henti spx bekas bikin kesel,0
suka nge lag terus sekarang engga pernah dapet gratis ongkir lagi admin shopee makin mulu tiap bulan aja,1
jangan sering sering munculin iklan watpatt dong kurang wadah promosi atau gimana kalo muncul sekali atau duakali oke kali kali lho,1
sukaaa bgt pada murah murah,0
saat bantu butuh kami perlu,1
shopee slu hati besok tgl saat belanja diskon pasti besar besar best the best,1
mudah guna transaksi mudah proses jual beli lancar,1
sementara,0
mudah fahami instan serta sangat manfaat,1
jelas top potong potong saldo masuk,0
apk belanja online ter jelek apa apa bagai guna baru kasih voucher sama pihak shopee langsung terus coba checkout dapat harga tapi udah dibatalin terus terus pihak shopee kata perilaku wajar apa gak wajar terus coba checkout harga bukan tetap aja dibatalin pihak shopee apa apa banget kalo gak niat ngasih voucher gak usah sekali malah dampak akun gak checkout apa apa tiap checkout dibatalin melulu,0
baik hapus aja aplikasi shoppe layan sangat muas,0
keren banget barang cepat sampai alat fungsi baik hanya hitung jam,1
udh langgan tiba tiba guna spaylater qris,1
harga murah produk bagus,1
dua kali tolak spinjam padahal riwayat bayar bagus limit banyak,1
lah masih banyak orang jujur walaupun bagi emang counterfeit products,0
makin kesini makin mahal pajak jual sampe astagfirullahh,1
spx bekas lama udh minggu stuck ganti marketplace lain,0
praktis bayar mudah lanjut irt cari hasil,1
tempat belanja nomor indonesia lengkap moga makin jaya,1
senang banget sdh beberapa pesan barang shofie alhamdulillah pernah kecewa makasih shopee,1
makasih shopee fast responnya sukses selalu shopee,1
nomer kur seperti dulu kalo mau hubung kurir susah,0
alhamdulillah bagus,1
refund barang ribet proses kembali dana lamaaaa minggu gilir komplen aju pinjam lama langsung cair detik pret,0
kenapa waktu sopepay mau isi saldo nama gue akun gue gak muncul kan was was kalo saldo gak masuk jadi gak isi,1
kadang kalo sen shopee food waktu sedia batal pesan terlalu cepat sehingga harus chat driver alamat repot drivernya nambahin uang driver tolong tambah waktu batal shopee food supaya jadi rupa,0
apk percaya banyak promo,1
dana kembali barang sampe sampe gimana,1
shopee bagus poll belanja shopee mudah murah murah lagi voucher banyak banget habis,1
iklan ganggu banget sumpah lagi baca wattpad atau webtoon gak mencet apa malah langsung aplikasi benerin lagi lah ganggu banget mana sering lagi kalo sekali kali mah gapapa inimah chapter kali kayak gitu,0
jangan ragu belanja sini barang tak sesuai retur uang kembali buru instal shopee mantappp,0
alhamdulillah shoppe moga puas belanja kirim aman,1
sekarang kalo masuk shopee langsung diarahin buat nonton video gak jelas banget sangat menggangu,1
aplikasi belanja selalu pakai tapi kenapa sekarang tombol kembali nggak pungsi lagi susah mau kembali layar depan,0
layana nggak sesuai,1
makin kesini antar makin lama harus dateng pas hari malah minggu,1
sangat puas kirim cepat kurir ramah toko cepat respon sukses selalu shopee,1
tiap baca wattpad selalu iklan sangat ganggu sekali,0
respon sangat baik,1
kakak kena tipu juta ken mulus datang main bayar mahal lagi kon,0
usul developer fitur shopee food saat telah ketuk beli tolong adakan dulu notif tuju seperti yakin ingin beli kadang kali kami sengaja ketuk tombol sebut padahal kami belum selesai terlalu banyak mes sehingga notif seperti sangat butuh bagi kami apalagi batal pesan mudah seringkali pesan langsung proses oleh jual moga aplikasi shopee baik depan,1
shoppe tolong segara salah foto video rugi banyak masalah gak selesai malah mana mana awal gercep bantu sekarang susah telp tdk direspon,0
bos tolong baik toko jual barang sesuai banyak pasang iklan sesuai link beli beda semangkin banyak mafia toko online harga mahal tapi datang barang sampah tolong tindak toko abal abal amanah barang original ter palsu benar aja,1
terima kasih shoppe moga lancar usaha,1
kurang skali iklan kaya paksa beli kurang iklan masuk langsung aplikasi,0
recomended banget,1
kenapa tiap mau mesen shopeefood selalu susah nyari driver apa emg kurang driver shopee tiap mesen makan hrus nunggu menit baru dpet driver itu kadang dpet sama sekali alhasil cancel dri pihak resto atau cancel sendiri tolong dong baik lagi masa iya dpet rating jelek dri driver padahal suka ngasih tips prnah masalah sama driver kok aneh bnget nih shopee lama,0
makasih shopee puas layan,1
kak kok dapat pesan harus mnyertakan foto video barang datang klo enggak blokir akun pdahal mski kirim foto sll kasih bintang benar apa tipu,0
tolong developer shopee hubung kami bayar checkout baik sistem update sistem dong tanya pin saat mesan bayar cod seperti ketika laku checkout bayar shopeepay seabank banyak sekali kasus banyak bocil cara sengaja laku beli tiba tiba kurir depan rumah,0
kadang sesuai kadang nama beda toko amanah,1
susah dapet kurir instan,1
buka aplikasi apa aja iklan dia bikin pusing iklan mana mana,0
tolong tingkat layan klaim komplain jgn putus pihak rugi oleh shopee pihak shopee beri solusi apa,0
terlalu maksa untk kita dnlw,0
aplikasi jual beli lengkap,0
belanja shopee makin mudah,1
iklan ganggu banget mana mana,1
mantap aplikasi sangat baik beli barang butuh,0
kga danta aplikasi lama lama asli dah sistem kaga jelas,0
bagus kita pilih produk,1
akal akal shopee biaya emas buat order doang ngemas artis apa gimana,1
shopee oke,1
baguss bangett,0
moga amanah sukses selalu,1
iklan ganggu anjir pop mulu kesel lama lama,0
buat shopee,1
puas,1
gak tau sebab tiba tiba lagi order kata laku aktivitas curiga emang teroris saldo shope dipake,1
shopee tolong dong baik aman tiap bln saldo ilang dipake transaksi kenal kalo saldo kosong spaylatter kepake padahal ngelakuin transaksi apa bulan hampir spaylatter kepake buat transaksi gajelas ituu parah bgttt anjirrrr sistem aman shopee sekarang,1
aplikasi sangat bagus,0
belanja aplikasi sangat muas bayar gak ribet kurir sopan,0
mau beli sesuatu tapi kok ongkir nggak ngotak banget njir masa ongkirnya sampe padahal punya voucher loh,1
sangat bagus aplikasi,0
suka sih kalo awal awal punya aplikasi shopee suka dapet harga rupiahh,1
benurutku shopee bagus beli apa saja sini semua mahal bgt sukaa banget shopee terima kasihh,0
kirim sangat lambat butuh cepat lagi udah bayar duluan barang gercep dong,0
terimakasih shopee emang,1
top emoney saldo potong tapi masuk kartu tadi nyata why tanggung jawab sama sekali,0
rangin iklan aja dah,0
shoppe skrg knp lambat bgt mls beli beli shopee sengaja beli jauh jauh hari biar hari mau dipke dipke mlh lewat dri hari blom nyampe nyampe lgi stts kirim stak situ hari hari,0
selalu puas dgn kerja shopee teamnya pernah sekali kecewa krn barang hilang tera paket sampai tapi paket tdk bayar lalu transfer bank otomatis uang hilang tapi jauh hanya sekali saja terimakasih shopee mudah beli barang rumah krn shopee tingkat aman kustomer dgn cegah hilang produk,1
apk shopee emang bnyk diskon gratis ongkir suka belanja sini yuk kita shoping sama shope semua heppy,1
sangat jelek baru sen makan sekali aja langsung troma mana toko tipu driver sikap jelek banget udah ancur banget aplikasi,1
suka pake banget bantu butuh praktis simple,1
bagus lumayan lengkap rata sellernya baik produk byk bgus,1
shopee food mahal vouchernya cuma dikit padahal dulu kecewa bgt sama shopee,0
kualitas bintang,1
sekarang makin lama dateng barang minggu gilee,1
kirim barang lama masa sen barang udah hari baru kirim,1
gak ribet,0
guna bagi buat cari produk pasar gitu,1
gausah pake ekspedisi sicepat deh paket stuck hari gada follow samsek kurir sicepat sama aja masa gatau alamat alahasil anter tuh paket mana bukan paket cod kalo gatau alamat nanya bukan tiba tiba beli tempat beli tudak dapat hubung ngaco,0
shope oke,1
iklam drakor aja masukin geli tahu gak aja,0
banyak puas walau bijin kecewa hny kecewa klo beli buah segar dtg busuk semua,0
shopee indonesia oke,1
akun baru tapi mengunakan voucher guna baru shopee kenapa error buat kecewa hilang voucher bagus,1
baru dua kirim muas jenong dodol topi masker abu kirim belum spx thebad baik almari loker tas sepatu baju handsad rebus air tdk bagus nich kirim dua item mantap,1
aplikasi jelas biaya admin makin gede aplikasi makin ribet sering eror tolol,0
sukses selalu,1
amanah tir baik,1
makasih banyak bantu kami dlm belanja,1
shopee murah praktis,1
shopee lama jles banget tiba akun keblokirr,1
sangat senang belanja aplikasi shopee sesuai apa kita pesan,0
subhannaalloh keren banget,1
sangat baik tepat waktu rincian produk jelas,1
keren,1
shopee kecewa pernah erti pernah cepat benah tiap keluh langgan cod udah bulan tapi tiap lapor selalu saja pihak salah seller padahal kali kalo jelas cod semua toko bukan hanya satu toko,0
makin jelas expedisi,1
sangat puas,1
makin sini semua makin mahal biaya lain lain selalu terus tambah mending kalo ubah cepat premium dalam segala mah masih sama kaya dulu tapi biaya lain makin banyak,1
shopee layan sepenuh hati,0
aplikasi sangat bagus sekali tabarakallah,0
sedikit masuk aplikasi agar lapak tanggung jawab jual barang sesuai deskripsi sih,0
ngk masuk halaman pesan halaman masalah,0
semenjak ngasi uang tip kurir trus ngasi lagi malah kirim suka lama padahal barang udh smpe lokasi gudang dekat smpe pernah hari baru dianterin udah sekian kali males beli lagi shopee begitu trus,0
kurang bagus,0
semenjak gabung affiliat shopee hasil tambah juta bulan saldo jamin aman shopee shopeepay terima kasih shopee,1
harga produk lumayan murah hanya masalah kirim barang produk sering lambat jadwal janji,1
apk kapitalis bgt mikirin untung sendiri kgk mikirin nyaman guna iklan mana,0
puas dgn shoppe,1
cukup puas layan moga depan makin banyak lagi diskon atau promo,1
saat bintang dulu nanti bayar spaylater per item baru kasih full bintang mungkin depan bayar tagih spaylater per item belum jatuh tempo sekarang kan musti semua tagih bulan harus bayar satu waktu gak pilih mana mau bayar dahulu tau jaman sekarang pantang duit dikit tang langsung tak bekas mudah mudah saran kabul terimakasih shopee,0
moga terus manfaat mudah bagi semua orang,1
layan sini cukup baik sayang ketika belanja kita scroll bawah alih alih tampil produk sama harga variasi malah tampil produk lain gak relevan sampah visual berapa tahun begini muak hal baik,0
aplikasi mebolehkan akun dalam aplikasi katika akun pakai dalam aplikasi kena langgar tampa ingat jisa guna,0
inti puas banget belanja shopee,1
makin kesini shopee makin jelas kirim lambat smaa sama dki paket mau sampai hari paket puter puter padahal mau masuk antar tapi bawa bawa puter terus paket males lagi pake shopee,1
promosi aplikasi pikir mas lagi main tiba tiba keluar iklan asu tenan,1
kurang muas paket kali dalam satu bulan alami retur pihak pihak shoopee beri masuk benar benar bantu dalam atas jadi,0
suka bnget sma voucher diskon smpai ribu gak bakal trrganti best pokok,1
sangat bantu belanja cepat efisien,1
barang sebaikx datang cepat,0
sangat senag belanja shopie alhamdulillah muas,1
makin kesini makin ngak jelass,1
alam buruk pernah jadi udah kali paket stuck tempat gda pasti kemarin paket stuck tempat sampe hari udah buat lapor kali sya udh nunggu pket kta pihak tim akan proses gtau pulang kan gajelas sekarang paket sya ulang hal sama stuck tempat udh hari sya udh buat lapor kali gda tindak lanjut pihak shope atau kirim bukan masalah toko jual lama tapi kirim tim shope lelet tim,0
bagus kalo beli baju isah pasar lagi tinggal shopee aja rating tapi terkadang jual bohong kualitas,1
mantab belanja shopi aman cepat,1
kurir sekarang nggak amanah,1
fitur hanya,0
shopee pliss laa buat iklan tuh jgn maksa amat sumpah nggak nyaman banget buka aplikasi apa iklan shopee mulu trus maksa banget jujur aja tuh bikin nggak nyamannn,1
iklan barang jual tdk sama namun hanya bagi pihak jual bagi wajar kata ktogori tawar tawar meski tdk acara langsung,0
good pokok recomended,1
shopee selalu andal apalagi utk kirim instan gak ribet,0
shopee nih kenapa sih akhir nyebelin banget sen paket stuck lama bgt gera sama sekali perhati lagi kenapa solusi manaa chat jual sama aja ubah asa dulu gin amat paling lama sampek minggu gitu pernah tiba barang retur dlu sama kurir tanpa konfirmasi kan rugi langgan namanyaaaaa sampek ganti akun lagi tolong yaa pihak shopee baik tuh banyak komen jelek,1
sangat keren sangat bantu pokok sangat muas,1
aplikasi bagus mantul,0
shopee adalah layan market baik thanks shopee,1
jangan terlalu banyak biaya tambah biar betah belanja sini,0
selalu muncul iklan males,0
kirim lot,0
suka kecewa langgan sukses bwt orange,1
apk taik ganti nomor aja jelas nomor udh mintak verifikasi udh bikin lupa nomor bikin verifikasi nomor,1
kecewa sama shopee karna tiap kirim pesan ngga pernah sampai beli,0
cukup baik aplikasiny moga makin maju,1
tolong shopee hapus bot rugi serta sistem ketat lagi bagi guna bot orang guna bot sama saja seperti orang korupsi,0
spaylater sama spinjam udah beku hub customer service jawab pasti,1
semenjak habis covid mau belanja luar negri suda lagi padahal hal untung bagi kalang orng indo,0
lama belanja shopee aman aja barang pun sampai selalu dlm kondisi tetap rapi,0
suka belanja shopee sayang hapus,0
apk bagus saran kurir lihat lagi seperti dulu biar mau komunikasi mudah seperti dulu agar tunggu kurir soal kadang kurir nggak tlg baca,0
maksud apa ngeledek mini games shopee goblk,0
kirim cepat sesuai estimasi harga murah murah banyak pilih terimakasih shofie,1
oke,1
belanja nyaman efesien waktu harga gak bikin kantong bolong,1
senang byk free ongkirnya,1
jasa kirim kurang bagus bilang buruk utama jasakirim spx terlalu lelet masa bandung sumedang estimasi sampe hari mau deket jauh tetep hari bahkan jauh masih maklum tadi cari toko deket biar agak cepet lah malah tambah lama banding jawa timur mending pake hijau jntexpress josss,0
shopee solusi baik utk belanja,1
sedikit kecewa ketika bayar hasil tapi pesan batal tapi uang proses kembali oleh sistem kasih bintang,0
kok shopee buka apadi blokir,0
barang kadang sesuai kadang enggan,1
puas produk produk shopie,1
butuh harus belanja toko offline semua belanja cara online shopee akulaku,0
bagus kecewa,0
byk seller tipu,0
aplikasi segala,0
belanja jamin aman lengkap butuh selain media sosial,1
suka sekali,0
beli pulsa pake acara ansuransi layar pecah padahal kirim pulsa ansuransi shope buang hal hal gak perlu kaya gin kalo murah marketplace lain bagus daripda embel ansuransi tapi nanggung tetep kurir kena mending hilang saja,0
ikan sempat kepada kami akses semua fitur mungkin kami milik trackrecord kurang baik tapi sebab perangkat rusak atau hilang,0
selalu puaaaaaasssss sesuai pesan,1
isi saldo kena admin keren,1
guna shopee sangat bantu dalam penuh butuh hari trimakasih shopee,1
barang bagus sesuai pesan iklan,1
murah manfaat,1
pas mau ubah pesan shopee food ongkirnya sering ubah drastis padahal beda beberapa detik aja gak jelasss,1
barang retur tanpa tuju dri retur pihak suka hati semena,0
sangat harap shopee aplikasi juta umat mulai baik atau mengahpus beberapa salah kecil data atau file lama apk agar kecil data aplikasi tambah mode malam sesuai atur,0
bantu sekali dalam belanja,0
login ribet,0
belli paket data tapi status pesan proses hampir hari blm masuk jelas udh hubungin kata kami sampai kan kpd tim kait tunggu jam tapi sampe skrng blm jelas minta refund pun harus bla bla bla paket pernah hilang make jasa spx harga ganti cuman sesuai pas padahal barang dalam mahal,1
makasih teman lama,0
maaf buat shope kurang bantu solusi,1
bagus sangat tarik sesuai dgn harga,1
terima kasih shopee telah bantu dalam mudah belanja aman nyaman mudah murah,1
kirim lama gak solusi shopeepay later sedot tanpa konfirmasi buat lapor gak solusi paksa tanggung rugi,0
manfaat,1
proses kirim lama dulu seperti sekarang satu provinsi hari sampai sekarang mah hari baru sampai pesan tanggal tanggal baru serah jasa kirim maaf tak kasih reting jelek alam pribadi,0
cara lewat aplikasi apa,0
kadang mesin cari klik telah klik bukan muncul cari tapi kembali beranda,0
sangat puas blanja online dishopee harga jangkau banyak bonus trimakasih shopee,1
sulit jelas kata kata,0
knp skrng sopee begini cod duuhhhh,0
iklan ganggu bamget deh asli kata gua mah stop bikin iklan jelas lagi enak enak baca wattpad iklan aplikasi mulu ganggu bgt,0
loveee apl shoope slalu dapet vocher gratis ongkir,1
sial banget paling susah pas atur keranjang susah respon kenapa,1
shope kenapa cod udah mau minggu nih cod padahal pernah nolak cod retur paket akun langsung cod,1
shopee sangat bantu bagi males keluar belanja barang butuh,0
aplikasi belanja manta recommended buat banyak orang kasih bintang dulu gagal terus dalam verifikasi atau aktif spaylater,0
aplikasi aneh mau cekout tapi sulit terus jadi salah aneh,0
apk makin gak jelas masak sppinjam lunas sekarang ambil lagi tolak padahal gak pernah telat bayar mles pakai shopee lagi,0
makin kesini makin lambat semua,1
chekout kok kena balsis terus jelas sampai bulan percuma voucer isa pakai tau gitu daftar vip buang duit ujung balsis melulu,0
alhamdulilah tepat waktu barang sesuai gambar,1
mohon pihak shope para jual nakal utama bagi pupuk atau obat tani bnyak sekali kena tipu mereka kecoh jual rbu tapi baca ulas atau komentar beli soal mereka giur harga murah wadah kemas memang bener seperti asli tetapi isi beda bnyak sekali dagang shope masih nakal apkah black list,0
suka beli barang lewat shopee video video turut sangat akurat promosi puas beli shope,1
shopee tuh paling paling kesal kalo kita searching kata kunci pasti hasil ngaco hanya satu kata area bikin pusing cari kota depok aja sampai kali klik hasil malah depok bandung lain sih fokus menu cari bikin pilih area search dekat agar kita pilih instan masa kalah sama belah searching bagus banget sesuai cari kita,0
shopee aplikasi belanja percaya,0
puas belanja diplafum,1
ngirim barang gak sesuai estimasi nanya kendala bukan kasih solusi malah suruh nunggu gak nyampe barang sesuai estimasi tambah lagi tanggal estimasi cara otomatis aplikasi gak jelas banget nanya gak solusi malah bilang kami bantu info pihak jasa kirim biar cepat sore sampe malam gak update padahal udah follow tiap jam,0
moga developer liat aamiin jujur selain belanja suka shopee game paling paling suka shopee run jujur seru bangettttttttt best bangettttttttt tolong dong kalo balikin lagi biar gituuuu koin sedikit gpp bangettttt karna game seru lohhhh lain begitu mahirrr gampang bosen tapi shopee run ter the best sihhhh moga developer baca yahh hehehe,1
amanah,1
kenapa sekarang shopee makin lot padahal jaring bagus buka aplikasi lain lancar semua gilir buka shopee lot aplikasi kek berat gitu banyak fitur kepake seperti game mungkin minta ampun dah clear cache tetep saja lot pakai wifi sama masih lot heran apa shoope,0
yth admind shopee barang pesan dinamo mesin cuci tabung pemberitahuannya kirim jam april telah cek terima bukan alamat foto orang terima kenal mohon lacak lagi nominal lumayan mau bayar barang alamat,0
saldo langsung embat entah buat apa padahal gak langgan apa apa bet haji fuki,0
